Datetime, Timestamp, Low, High, Open, Close, Vol
6/4/2018 0:00,1528070400,7447.61,7747.57,7706.37,7486.34,6034.261699
6/3/2018 0:00,1527984000,7583.24,7777,7636.41,7706.37,5206.863452
6/2/2018 0:00,1527897600,7440,7697.09,7514.32,7636.42,5070.864946
6/1/2018 0:00,1527811200,7351.01,7599.99,7485,7514.32,6936.820624
5/31/2018 0:00,1527724800,7340,7609.99,7380,7485,6066.568943
5/30/2018 0:00,1527638400,7272.71,7557.78,7460,7380.01,6250.204776
5/29/2018 0:00,1527552000,7058,7524.99,7107.94,7460,10349.06459
5/28/2018 0:00,1527465600,7087,7444.8,7346.64,7107.94,7785.665665
5/27/2018 0:00,1527379200,7229.01,7392.7,7337.94,7346.64,4565.960941
5/26/2018 0:00,1527292800,7287.23,7640.46,7459.11,7337.95,4572.291631
5/25/2018 0:00,1527206400,7326.94,7661.85,7584.15,7459.11,8681.380044
5/24/2018 0:00,1527120000,7269,7734.99,7505.01,7584.15,11375.35537
5/23/2018 0:00,1527033600,7433.19,8030.06,7987.7,7505,15889.47945
5/22/2018 0:00,1526947200,7950,8400,8393.43,7987.7,6905.266002
5/21/2018 0:00,1526860800,8309.23,8584.39,8516.86,8393.44,5125.878383
5/20/2018 0:00,1526774400,8172,8600,8235.6,8516.86,4478.451655
5/19/2018 0:00,1526688000,8152.54,8390,8238.51,8235.6,4198.420451
5/18/2018 0:00,1526601600,7927.21,8280,8059,8238.51,8239.274864
5/17/2018 0:00,1526515200,8001,8483.48,8344.01,8059,8477.106924
5/16/2018 0:00,1526428800,8103.33,8500,8477.47,8344,10858.39139
5/15/2018 0:00,1526342400,8420.45,8847,8670,8477.46,10892.26535
5/14/2018 0:00,1526256000,8289.79,8880.01,8686.1,8670,14127.54658
5/13/2018 0:00,1526169600,8345,8774.32,8474.31,8686.1,6678.594312
5/12/2018 0:00,1526083200,8223.43,8658.57,8403.33,8475,11391.38207
5/11/2018 0:00,1525996800,8351,9010.51,9010.51,8403.33,17511.82617
5/10/2018 0:00,1525910400,9001.01,9386.32,9300.08,9010.51,7592.823915
5/9/2018 0:00,1525824000,8960,9370,9177.81,9300.08,8628.870384
5/8/2018 0:00,1525737600,9050,9463.13,9356.25,9177.82,9561.918065
5/7/2018 0:00,1525651200,9162.85,9619.55,9600,9356.25,9823.341818
5/6/2018 0:00,1525564800,9390,9880,9799.99,9600,7592.051752
5/5/2018 0:00,1525478400,9660.28,9948.12,9685,9800,9390.688571
5/4/2018 0:00,1525392000,9451.5,9745,9725.74,9685,10837.79679
5/3/2018 0:00,1525305600,9131,9800,9190.47,9725.74,14956.03121
5/2/2018 0:00,1525219200,8990,9251.05,9072.29,9190.48,8823.737629
5/1/2018 0:00,1525132800,8831.21,9245.37,9243.83,9072.29,11372.35045
4/30/2018 0:00,1525046400,9110.88,9447,9389.01,9243.83,8862.273201
4/29/2018 0:00,1524960000,9179.99,9512.5,9329.99,9389.01,7937.986418
4/28/2018 0:00,1524873600,8863.42,9447,8922.56,9329.99,8849.35261
4/27/2018 0:00,1524787200,8910,9369,9272.12,8922.55,12076.20685
4/26/2018 0:00,1524700800,8660,9318,8865.98,9272.12,15215.81474
4/25/2018 0:00,1524614400,8602.43,9763.49,9645,8865.98,31579.10825
4/24/2018 0:00,1524528000,8930,9728.56,8931.31,9650,20837.8355
4/23/2018 0:00,1524441600,8775.1,8991,8795,8931.3,8040.33558
4/22/2018 0:00,1524355200,8754.01,9015,8915.42,8795.01,7802.325927
4/21/2018 0:00,1524268800,8610.7,9038.87,8866.27,8915.42,12270.61194
4/20/2018 0:00,1524182400,8216.21,8932.57,8274,8866.27,16412.58572
4/19/2018 0:00,1524096000,8101.47,8300,8152.05,8274,11932.90526
4/18/2018 0:00,1524009600,7879.8,8243.99,7892.11,8152.05,10850.70051
4/17/2018 0:00,1523923200,7822,8162.5,8048.92,7892.1,10700.35753
4/16/2018 0:00,1523836800,7905.99,8398.98,8355.24,8048.93,13403.52661
4/15/2018 0:00,1523750400,8003.11,8392.56,8003.12,8355.25,9899.540187
4/14/2018 0:00,1523664000,7830,8150,7893.19,8003.11,9338.026786
4/13/2018 0:00,1523577600,7760,8220,7915.99,7893.19,21982.71765
4/12/2018 0:00,1523491200,6767.77,8050,6943,7916,31082.70844
4/11/2018 0:00,1523404800,6806.01,6974,6825,6942.99,8182.994034
4/10/2018 0:00,1523318400,6661.19,6893.29,6771.14,6824.99,7487.678608
4/9/2018 0:00,1523232000,6617,7169.53,7020.01,6771.13,13950.51264
4/8/2018 0:00,1523145600,6880,7099.99,6894.01,7020.01,6296.834975
4/7/2018 0:00,1523059200,6605.08,7064.64,6619.01,6894.01,10351.37367
4/6/2018 0:00,1522972800,6518.88,6847,6785.86,6619.01,10694.1952
4/5/2018 0:00,1522886400,6568.64,6933.11,6791.68,6785.85,14447.35404
4/4/2018 0:00,1522800000,6708.46,7424.91,7424.91,6791.68,15310.06574
4/3/2018 0:00,1522713600,7016.8,7520,7045.01,7424.9,18923.15226
4/2/2018 0:00,1522627200,6777.28,7100,6816.01,7045.01,14317.1439
4/1/2018 0:00,1522540800,6450,7044.46,6928.5,6816.01,15417.49769
3/31/2018 0:00,1522454400,6780,7200,6848.01,6928.5,14950.4681
3/30/2018 0:00,1522368000,6600,7275.35,7080,6848.01,29307.62461
3/29/2018 0:00,1522281600,6905,7957,7942.73,7079.99,27811.30584
3/28/2018 0:00,1522195200,7727.76,8088,7793.61,7942.72,10966.69757
3/27/2018 0:00,1522108800,7757,8219.99,8144.99,7793.61,14986.85105
3/26/2018 0:00,1522022400,7854,8498,8453,8145,19389.66484
3/25/2018 0:00,1521936000,8359.45,8670,8531.96,8452.96,9047.670504
3/24/2018 0:00,1521849600,8508,8999,8927.8,8531.34,11863.24882
3/23/2018 0:00,1521763200,8280.04,8927.81,8715.09,8927.1,15264.63125
3/22/2018 0:00,1521676800,8467.27,9073.93,8891.81,8715.09,14885.55087
3/21/2018 0:00,1521590400,8745,9174,8900,8891.81,15736.35552
3/20/2018 0:00,1521504000,8316.15,9046.26,8589,8900,20468.41887
3/19/2018 0:00,1521417600,8307.24,8560,8315.56,8497.8,3806.144002
3/18/2018 0:00,1521331200,7310,8302.73,7857.59,8192,30526.27857
3/17/2018 0:00,1521244800,7751,8349.82,8274.09,7865.02,13637.70509
3/16/2018 0:00,1521158400,7911,8600,8260,8275,16960.2883
3/15/2018 0:00,1521072000,7666,8400,8207.02,8259.99,28011.84251
3/14/2018 0:00,1520985600,7931,9340,9145.42,8207.03,27751.77065
3/13/2018 0:00,1520899200,8855,9472.88,9120,9145.41,17189.94574
3/12/2018 0:00,1520812800,8780.49,9890,9533.88,9120,21153.81367
3/11/2018 0:00,1520726400,8516,9760,8795.45,9533.88,21706.75748
3/10/2018 0:00,1520640000,8720.08,9518.77,9255,8795.44,17253.47557
3/9/2018 0:00,1520553600,8370,9410,9304.9,9255,41958.06
3/8/2018 0:00,1520467200,9050,10098,9925,9304.9,23320.34425
3/7/2018 0:00,1520380800,9400,10894,10700,9920,32412.54884
3/6/2018 0:00,1520294400,10565.85,11395.63,11371.5,10700,18305.57837
3/5/2018 0:00,1520208000,11339,11645.74,11469.9,11377.54,11051.42858
3/4/2018 0:00,1520121600,11041,11487,11432.51,11469.9,8633.594427
3/3/2018 0:00,1520035200,11000,11494.57,11000.01,11432.5,13198.01802
3/2/2018 0:00,1519948800,10765,11149,10895.93,11000,13837.31984
3/1/2018 0:00,1519862400,10213.99,11075,10307.26,10895.92,15390.55106
